,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
1655,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1656,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1657,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
1663,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1667,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,40,25.4186,40.12246,0.0,0.0553,10.0,1
1668,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.8,40,25.4186,40.12246,0.0,0.0553,10.0,1
1669,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1672,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.22324,35.78489,1
1673,2012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,25,21.10257,0.0,0.0,0.50899,517.14349,1
1674,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
1675,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.22324,35.78489,1
1676,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1677,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1678,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1679,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
1681,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
1682,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
1686,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1688,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
1689,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1690,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,92.47683,90.1335,0.0,1.92335,6603.11177,1
1693,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
1694,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.70642,156.21967,1
1695,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.37359,679.46269,1
1696,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1697,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1698,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1699,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1700,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1701,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9,21.24353,34.74443,87.0,0.06206,39.10899,0
1702,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8,9,21.24353,34.74443,100.0,0.06206,39.10899,0
1703,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1705,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1706,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1707,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1708,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1709,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,7,0.0,0.0,0.0,25.0,10.0,0
1710,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,0.12028,10.0,1
1711,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,5,46.81377,55.19441,0.0,0.05667,10.0,0
1712,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1,63.78437,80.49904,0.0,1.30107,1930.68673,0
1714,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1715,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,94,14.15759,0.0,70.0,0.11222,84.10554,1
1716,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.4,94,14.15759,0.0,100.0,0.11222,84.10554,1
1717,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1718,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
1719,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
1720,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.6,16,0.0,0.0,0.0,0.37307,36.07047,1
1723,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.74399,156.21967,1
1724,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
1726,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,48.24566,47.27839,60.0,1.09269,1790.69463,1
1727,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,48.24566,47.27839,67.0,1.09269,1790.69463,1
1728,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1729,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.7,74,85.75126,90.58469,0.0,0.19044,114.40569,1
1733,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.22324,35.78489,1
1735,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1736,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1737,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1738,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1739,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,33,0.0,0.0,0.0,0.22324,35.78489,1
1742,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1743,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1744,2012,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.5,621,24.30606,44.75408,0.0,0.08332,89.4684,1
1746,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2,19,0.0,0.0,57.0,0.3799,350.66109,1
1747,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2,19,0.0,0.0,100.0,0.3799,350.66109,1
1748,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4,40,25.4186,40.12246,0.0,0.08174,10.0,1
1749,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4,40,25.4186,40.12246,0.0,0.08174,10.0,1
1751,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,10,0.0,0.0,0.0,25.0,10.0,0
1752,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.3,621,24.30606,44.75408,0.0,0.0847,89.4684,1
1753,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.6,40,26.18298,48.55411,50.0,0.27111,57.3604,1
