,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Education level,Nature,Reporting Type,Units
181586,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2010,99.32832,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181587,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2010,95.105,2010,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181588,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2011,95.09832,2011,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181589,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2011,99.32576,2011,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181590,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2011,99.4308,2011,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181591,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2012,95.11637,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181592,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2012,99.42837,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181593,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2012,99.32297,2012,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181594,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2013,95.05906,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181595,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2013,99.32111,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181596,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2013,99.43197,2013,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181597,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2014,99.43624,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181598,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2014,99.31975,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181599,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2014,95.009,2014,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181600,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2015,94.96404,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181601,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2015,99.31872,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181602,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2015,99.44093,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181603,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2016,99.44579,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181604,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2016,99.31773,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181605,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2016,94.91987,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181606,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2017,99.4514,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181607,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2017,94.91792,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181608,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",9,Oceania,2017,99.30963,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181609,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2015,99.76037,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181610,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2015,92.68051,2015,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181611,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2016,92.78613,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181612,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2016,99.74904,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181613,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2016,97.75686,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181614,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2017,97.79202,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181615,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2017,99.67985,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181616,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",15,Northern Africa,2017,94.07324,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181617,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2016,100.0,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181618,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2016,100.0,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181619,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2016,100.0,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181620,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2017,100.0,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181621,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2017,100.0,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181622,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2017,100.0,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181623,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181624,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181625,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181626,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2019,100.0,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181627,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2019,100.0,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181628,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",20,Andorra,2019,100.0,2019,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181629,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2017,100.0,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181630,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2017,100.0,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181631,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2017,98.3871,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181632,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,C,G,PERCENT
181633,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,C,G,PERCENT
181634,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",28,Antigua and Barbuda,2018,100.0,2018,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,C,G,PERCENT
181635,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",30,Eastern Asia,2016,95.36084,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,PRIMAR,E,G,PERCENT
181636,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",30,Eastern Asia,2016,96.46744,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
181637,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",30,Eastern Asia,2016,96.49865,2016,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181638,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",30,Eastern Asia,2017,96.44715,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,LOWSEC,E,G,PERCENT
181639,4,4.a,4.a.1,SE_ACC_HNDWSH,"Proportion of schools with basic handwashing facilities, by education level (%)",30,Eastern Asia,2017,96.59485,2017,UNESCO Institute for Statistics.  Data extracted on 13 April 2021.,,UPPSEC,E,G,PERCENT
